Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S143638683,American Herring Gull,Larus smithsonianus,6539,X,US-MA,Plymouth,L25707453,Peddocks island,42.289418,-70.939614,2023-07-05,,eBird - Casual Observation,,0,,,1
S261682780,American Herring Gull,Larus smithsonianus,6539,X,US-MA,Suffolk,L50217728,Christian Science Plaza,42.344809,-71.083396,2025-07-21,12:23 PM,eBird - Casual Observation,,0,,,1
S144858814,American Herring Gull,Larus smithsonianus,6539,X,US-MA,Suffolk,L26010368,Faneuil Hall,42.360376,-71.054842,2023-07-17,,eBird - Casual Observation,,0,,,1
S242299396,European Herring Gull,Larus argentatus,6545,X,DK-01,Frederiksberg,L45897489,Fountain,55.670592,12.525241,2025-05-25,,eBird - Casual Observation,,0,,,1
S262823760,Common Tern,Sterna hirundo,6748,X,US-MA,Essex,L50486233,Salt Marsh Live Parking Only,42.775289,-70.806791,2025-07-26,,eBird - Casual Observation,,0,,,1
S233285535,Little Grebe,Tachybaptus ruficollis,6827,X,JP-13,Chiyoda City,L44158872,Street Overlooking,35.695024,139.750534,2025-05-05,,eBird - Casual Observation,,0,,,1
S232253186,Little Grebe,Tachybaptus ruficollis,6827,X,JP-13,Shibuya City,L43957537,Pond,35.683193,139.710422,2025-05-03,,eBird - Casual Observation,,0,,,1
S204071369,Pied-billed Grebe,Podilymbus podiceps,6855,X,US-MA,Suffolk,L38352276,Boston,42.33441,-71.161959,2024-11-30,,eBird - Casual Observation,,0,,,1
S176182993,Western Grebe,Aechmophorus occidentalis,6888,X,US-CA,San Francisco,L32120671,Pier 39,37.810967,-122.411158,2024-05-21,,eBird - Casual Observation,,0,,,1
S228331797,Common Loon,Gavia immer,6933,X,US-CT,New London,L43228091,Hole In The Wall Beach,41.322161,-72.194223,2025-04-22,,eBird - Casual Observation,,0,,,1
S228643766,Common Loon,Gavia immer,6933,X,US-CT,New London,L43228091,Hole In The Wall Beach,41.322161,-72.194223,2025-04-23,,eBird - Casual Observation,,0,,,1
S205763859,Common Loon,Gavia immer,6933,X,US-CT,New London,L38681117,Niantic,41.318808,-72.196106,2024-12-17,,eBird - Casual Observation,,0,,,1
S131226051,Common Loon,Gavia immer,6933,X,US-MA,Suffolk,L23110760,Clippership,42.369596,-71.042458,2023-03-18,,eBird - Casual Observation,,0,,,1
S176183199,Brandt's Cormorant,Urile penicillatus,7389,X,US-CA,San Francisco,L32120671,Pier 39,37.810967,-122.411158,2024-05-21,,eBird - Casual Observation,,0,,,1
S233286711,Great Cormorant,Phalacrocorax carbo,7397,X,JP-13,Chiyoda City,L44158872,Street Overlooking,35.695024,139.750534,2025-05-05,,eBird - Casual Observation,,0,,,1
S243056363,Great Cormorant,Phalacrocorax carbo,7397,X,DK-01,København,L46056676,Grey Navy Ship,55.688622,12.601225,2025-05-26,,eBird - Casual Observation,,0,,,1
S231022566,Great Cormorant,Phalacrocorax carbo,7397,X,JP-14,Yokohama,L43736511,Bridge,35.456229,139.636934,2025-04-30,,eBird - Casual Observation,,0,,,1
S139216573,Double-crested Cormorant,Nannopterum auritum,7424,X,US-MA,Middlesex,L24646833,Kendall,42.363101,-71.080855,2023-05-25,,eBird - Casual Observation,,0,,,1
S151128646,Double-crested Cormorant,Nannopterum auritum,7424,X,US-MA,Middlesex,L27322351,MIT,42.358063,-71.090871,2023-09-30,,eBird - Casual Observation,,0,,,1
S255742228,Double-crested Cormorant,Nannopterum auritum,7424,X,US-MA,Middlesex,L48835593,Under The Bridge,42.369606,-71.066716,2025-06-30,,eBird - Casual Observation,,0,,,1
S143643405,Double-crested Cormorant,Nannopterum auritum,7424,X,US-MA,Plymouth,L25708461,Peddocks Island,42.291447,-70.948606,2023-07-05,,eBird - Casual Observation,,0,,,1
S167989206,Double-crested Cormorant,Nannopterum auritum,7424,X,US-MA,Suffolk,L30504452,Boating,42.358927,-71.073164,2024-04-10,,eBird - Casual Observation,,0,,,1
S114792530,Double-crested Cormorant,Nannopterum auritum,7424,X,US-MA,Suffolk,L19989473,Boston East,42.373746,-71.041674,2022-07-10,11:24 AM,eBird - Casual Observation,,0,,,1
S189812318,Snowy Egret,Egretta thula,7645,X,US-MA,Barnstable,L35378072,Mass Audubon Wellfleet Bay,41.880708,-69.996723,2024-08-01,,eBird - Casual Observation,,0,,,1
